iter	Passed	Remaining
0	0	68
1	1	60
2	1	56
3	2	52
4	2	51
5	3	50
6	3	50
7	4	49
8	4	49
9	5	48
10	5	47
11	6	46
12	6	46
13	7	45
14	8	45
15	8	44
16	9	44
17	9	43
18	10	43
19	10	42
20	11	41
21	11	41
22	12	40
23	12	40
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	33
37	19	32
38	20	32
39	20	31
40	21	30
41	21	30
42	22	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	22
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	51	0
99	51	0
